Company/Brand,Stage,Amount($),HeadQuarter,What it does,Sector,Funded Year,Founded,Investor
Thecollegefever,Seed,250000,Bangalore,"Thecollegefever is a hub for fun, fiesta and frolic of colleges.",Marketing,2018,,Nan
Happy cow dairy,Seed,584000,Mumbai,A startup which aggregates milk from dairy farmers in rural maharashtra.,Agritech,2018,,Nan
Myloancare,Series A,949000,Gurgaon,Leading online loans marketplace in india,Fintech,2018,,Nan
Payme india,Seed,2000000,Noida,Payme india is an innovative fintech organization which offers short term financial suport to corporate employees.,Fintech,2018,,Nan
Eunimart,Seed,0,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,E-commerce,2018,,Nan
Hasura,Seed,1600000,Bengaluru,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",Saas,2018,,Nan
Tripshelf,Seed,233600,Kalkaji,Tripshelf is an online market place for holiday packages.,E-commerce,2018,,Nan
Hyperdata.io,Seed,730000,Hyderabad,Hyperdata combines advanced machine learning with human intelligence.,Robotics,2018,,Nan
Freightwalla,Seed,0,Mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,Technology,2018,,Nan
Microchip payments,Seed,0,Bangalore,Microchip payments is a mobile-based payment application and point-of-sale device,Fintech,2018,,Nan
Bizcrum infotech pvt. ltd.,Seed,0,Delhi,Building transactionary b2b marketplaces,E-commerce,2018,,Nan
Emojifi,Seed,0,Bengaluru,"Emojifi is an app that provides live emoji, stickers & gifs suggestions based on the typed words across chat platforms.",Digital media,2018,,Nan
Flock,Seed,0,Mumbai,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,Saas,2018,,Nan
Freshboxx,Seed,0,Hubli,"Freshboxx is incubated at sandbox startups, a unit of the deshpande foundation.",Delivery services,2018,,Nan
Wide mobility mechatronics,Seed,0,Bangalore,Wide mobility mechatronics is a private company limited by shares,Automation,2018,,Nan
Pitstop,Seed,1460000,Bengaluru,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,Car rental,2018,,Nan
Mihuru,Seed,150000,Mumbai,Mihuru is an online platform which gives micro loans for air travel .,Fintech,2018,,Nan
Fyle,Seed,1100000,Bengaluru,Fyle is an intelligent expense management platform for enterprises.,Fintech,2018,,Nan
Appwharf,Seed,0,New delhi,Appwharf is an intelligent assistant that helps find you the best-fit saas for your business.,AI,2018,,Nan
Antariksh waste ventures pvt ltd,Seed,7300,Chennai,Waste management for smart cities,Waste management,2018,,Nan
Cogoport,Series A,6000000,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,Transport,2018,,Nan
Paisadukan,Seed,650000,Mumbai,A p2p lending marketplace platform,Fintech,2018,,Nan
Sleepy owl coffee,Seed,511000,New delhi,"Makers of a signature coffee that's exceptional in taste. it's super easy to brew, requires no equipment & ships to your door.",Food and Beverages,2018,,Nan
Bluejack,Seed,934400,Delhi,Delhi-based online used vehicles marketplace.,Car rental,2018,,Nan
Pregbuddy,Seed,0,Bengaluru,Pregbuddy is a smart connected care platform for expecting mothers.,Healthcare,2018,,Nan
Agnext technologies,Series A,0,Mohali,Agnext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,Agrictech,2018,,Nan
Pando,Seed,2000000,Chennai,A startup which digitizes logistics operations for fortune 500 companies.,E-logistics,2018,,Nan
Mintifi,Seed,2000000,Mumbai,Online lending startup based in mumbai.,Finance,2018,,Nan
Carcrew,Seed,2000000,Mumbai,India's online auto repair marketplace,E-commerce,2018,,Nan
Nicheai,Seed,0,Hyderabad,Early stage artificial intelligence (ai) start up.,AI,2018,,Nan
Chariot tech,Seed,292000,New delhi,Chariot tech is an internet of things (iot) startup based in new delhi.,Iot,2018,,Nan
Ideal insurance brokers/ 121policy.com,Seed,1000000,Kolkata,Ideal insurance broking is one of the leaders in insurance broking domain.,Insurance,2018,,Nan
Loanzen,Seed,0,Bangalore,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,Fintech,2018,,Nan
Mojro technologies,Seed,650000,Bengaluru,Mojro envisions to be the world's largest technology-enabled logistics platform.,E-logistics,2018,,Nan
Elemential,Seed,1000000,Mumbai,"Blockchain development platform to design, run & scale blockchain networks.",Saas,2018,,Nan
Loadshare,Series A,5000000,Bengaluru,Loadshare is india’s fastest growing logistics company,Logistics,2018,,Nan
Yumlane,Series A,4000000,Mumbai,Food startup yumlane operated by qwikpik technology,Food and Beverages,2018,,Nan
Kriger campus,Seed,438000,New delhi,A education start up.,Education,2018,,Nan
Pipa+bella,Series A,1000000,Mumbai,Pipa+bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,E-commerce,2018,,Nan
Kaleidofin,Seed,2800000,Chennai,A fintech platform.,Fintech,2018,,Nan
Chakr innovation,Seed,0,New delhi,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,Renewable energy,2018,,Nan
Indigolearn,Seed,150000,Hyderabad,India's the premier education destination catering to the needs of aspiring students of the ca community.,Edtech,2018,,Nan
Uclean,Seed,584000,Faridabad,Uclean is a tech enabled laundry service provider.,Clean tech,2018,,Nan
Coutloot,Seed,1000000,Mumbai,The fashion re-commerce platform.,E-commerce,2018,,Nan
Letstrack,Seed,1700000,New delhi,"Letstrack gps tracking devices to track your kids, bike, car and other vehicles. gps trackers for vehicle tracking system in india.",Saas,2018,,Nan
Pooltoo,Seed,0,New delhi,Pooltoo offers a premium ride sharing platform.,Transport,2018,,Nan
Finzy,Seed,1300000,Bangalore,Finzy is the premier peer to peer lending solution in india.,Finance,2018,,Nan
Fitternity,Seed,2000000,Mumbai,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,Healthcare,2018,,Nan
Keito,Seed,0,Pune,Building an intelligent digital assistant.,AI,2018,,Nan
Tolet for students,Seed,73000,Jodhpur,"Reserve your room, hostel or paying guest, while relocating for higher education.",Hospitality,2018,,Nan
Chai kings,Seed,292000,Chennai,Chai kings is a tea retail chain,Food and Beverages,2018,,Nan
Dainik jagran,Seed,584000,Kanpur,Dainik jagran is a media and communications group.,Media and marketing,2018,,Nan
Playtoome,Seed,292000,Bengaluru,Playtoome is a live entertainment destination,Media and marketing,2018,,Nan
Ongo framework,Seed,1000000,Hyderabad,Ongo framework is a b2b it and digital solution provider.,E-commerce,2018,,Nan
Notesgen,Seed,182500,New delhi,A global peer-to-peer and peer-to-group learning platform that helps students supplement their academic & competitive exam prep.,Edtech,2018,,Nan
Arogya medtech,Seed,219000,Kolkata,Arogya medtech is a research & development organization in bio-medical industry.,Healthcare,2018,,Nan
Propshop24,Seed,500000,Mumbai,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",Automotive and rentals,2018,,Nan
Myupchar,Series A,5000000,New delhi,To bring health issues to people in their language.,Healthcare,2018,,Nan
Missmalini entertainment,Seed,1518400,Mumbai,"Missmalini entertainment is a multi-platform new media network dedicated to entertaining, connecting & empowering young indians.",Fintech,2018,,Nan
Rooter,Seed,657000,New delhi,Rooter is a mobile-based platform,Sports,2018,,Nan
Zestmoney,Series A,13400000,Bangalore,Zest is india's first completely automated consumer digital lending platform.,Fintech,2018,,Nan
Alphaics corporation,Seed,0,Bengaluru,Advancing ai compute,AI,2018,,Nan
Mydentistchoice,Seed,500000,Hyderabad,Mydentistchoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,Healthcare,2018,,Nan
Sattviko,Seed,0,New delhi,Sattviko fosters wellness and shares indianness through the sattvik way of cooking that is wholesome and tasty!,Food and Beverages,2018,,Nan
Sensibull,Seed,365000,Bangalore,Investment management platform,Fintech,2018,,Nan
Bombay shaving company,Series A,0,New delhi,Bombay shaving company is a men's grooming startup,Fashion,2018,,Nan
Medcords,Seed,385440,Pune,Medcords is india’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,Healthcare,2018,,Nan
University living,Seed,0,New delhi,University living is an online global student housing marketplace.,Education,2018,,Nan
&me,Seed,0,Bangalore,Food and beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,Food and Beverages,2018,,Nan
Enakshi,Seed,116800,Ahmedabad,Enakshi is an online apparel brand for women.,Fashion,2018,,Nan
Ultraviolette automotive,Series A,876,Bangalore,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,Automotive,2018,,Nan
Inthree access,Series A,4000000,Chennai,Inthree access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in rural india.,Real estate,2018,,Nan
Bugworks research india,Series A,9000000,Bangalore,Bugworks is a drug discovery company.,Healthcare,2018,,Nan
Guardian.in,Seed,0,Mumbai,Gnc is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,Healthcare,2018,,Nan
Prestloans,Seed,100000,New delhi,"Prestloans new age tech driven rbi regd nbfc helping businesses by providing easy, quick n hassle free loans.",Fintech,2018,,Nan
Wimoxez,Seed,20000,Hyderabad,"Data intelligence publishing platform, we bring the best resources to learn valuable technologies which will shape tomorrow.",Digital media,2018,,Nan
India accelerator,Seed,0,Gurgaon,India accelerator runs mentorship-driven incubation and acceleration programs for start ups.,Startup hub,2018,,Nan
Happyemi,Seed,1000000,Bangalore,Happyemi is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,Fintech,2018,,Nan
Wishup,Seed,0,Azadpur,Premium personal assistance service,AI,2018,,Nan
Hansel.io,Series A,4000000,Bangalore,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",It,2018,,Nan
Propelld,Seed,250000,Bengaluru,Propelld is a student education financing platform.,Fintech,2018,,Nan
Pivotroots,Series A,0,Mumbai,Digital marketing powered by data & technology; fueled by design thinking,Ad-tech,2018,,Nan
Ziffyhomes,Seed,120000,New delhi,Ziffyhomes is a technology driven marketplace to find out home on rent.,Real estate,2018,,Nan
Carmesi,Seed,496400,Gurgaon,Carmesi is a brand of high-end menstrual-hygiene products in india.,Healthcare,2018,,Nan
Ockypocky,Seed,0,Haryana,Ockypocky is a interactive and personalised language learning app for preschool kids.,Edtech,2018,,Nan
Racetrack,Seed,4993200,Bangalore,"Racetrack is a sales and support-focused ai-driven platform designed for education, real estate, and e-commerce sectors.",AI,2018,,Nan
Whr,Seed,143145,Pune,"Whr is to make affordable healthcare a reality for all. our vision is to make healthcare services easier, better and more accessible.",Healthcare,2018,,Nan
Asteria aerospace,Seed,0,Bangalore,Asteria aerospace is a robotics and artificial intelligence company.,Transport,2018,,Nan
Faballey,Series B,8760000,Noida,"Faballey is the ultimate indian fashion destination for fashion-forward, indie-chic girls. founded in 2012, tanvi malik and shivani poddar",Art and design,2018,,Nan
Tranzmeo,Seed,0,Cochin,Tranzmeo connect : is a complete comprehensive anomaly forensic solution with actionable insights.,AI,2018,,Nan
Sbi life,Series D,742000000,Mumbai,Sbi life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,Insurance,2018,,Nan
Studds accessories,Series D,14600000,Faridabad,Studds accessories is a scooter accessories service provider in india,Automotive and rentals,2018,,Nan
Design cafe,Series B,29200000,Bengaluru,"Design + execution organization that delivers beautiful & innovative designs for home interiors, in any budget.",Art and design,2018,,Nan
Nopaperforms solutions pvt. ltd.,Series B,3980000,New delhi,"Nopaperforms is a marketing automation, lead nurture and enrolment management platform for educational institutions",Edtech,2018,,Nan
Rays power infra,Series B,29200000,Jaipur,Rays power infra is a leading integrated solar power company.,Renewable energy,2018,,Nan
Authmetrik,Seed,10000,Gurgaon,"Saas, b2b, security, stop account sharing, fraud detection",Saas,2018,,Nan
Khidki,Seed,0,Bangalore,Vernacular social network focused on town level content and interactions,AI,2018,,Nan
Letstransport,Series B,14600000,Bangalore,Lets transport is a logistics solution provider.,Logistics,2018,,Nan
Next digital solutions,Seed,1460,Kota,Next digital solutions is website design & digital marketing development company.,Digital marketing,2018,,Nan
Portea medical,Seed,3650000,Bangalore,Portea medical is the largest and fastest growing provider of in-home medical care in india today with a 24-city network.,Healthcare,2018,,Nan
Aavas financiers,Series D,29200000,Jaipur,"Aavas financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",Finance,2018,,Nan
Swiggy,Series D,1000000000,Bangalore,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,Food and Beverages,2018,,Nan
Milkbasket,Series A,7000000,Haryana,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",Food and Beverages,2018,,Nan
Nutrisattva (proliva),Seed,0,Anand,Nutrisattva is a protein innovation compan,Food and Beverages,2018,,Nan
Toppr,Series C,35000000,Mumbai,Toppr.com is an online preparation platform for entrance exams in india.,Edtech,2018,,Nan
Jagaran microfin,Seed,8030000,Kolkata,Jagaran microfin is a microfinance institution which achieves a healthy amalgamation of social and financial,Fintech,2018,,Nan
Vivriti capital,Series B,28500000,Chennai,Vivriti capital is an online platform for institutional debt in india.,Fintech,2018,,Nan
Be u salons,Seed,438000,New delhi,Be u is india's first subscription based salon chain.,Beauty,2018,,Nan
Impact guru,Series A,2000000,Mumbai,"We're a harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",Startup hub,2018,,Nan
Mobikwik,Series D,3504000,Gurgaon,Mobikwik is a payments backed fintech platform in india. mobikwik app offers instant loans & investment products to the 500m masses of india,Fintech,2018,,Nan
Stones2milestones,Seed,0,Gurgaon,Stones2milestones is a gurgaon based learning company.,Edtech,2018,,Nan
Generico,Series A,0,Mumbai,Generico is the fastest growing specialized pharmacy retail chain of generic medicines.,Healthcare,2018,,Nan
Adiuvo diagnostics,Seed,0,Chennai,Adiuvo diagnostics is a medical diagnostic device company based in india.,Healthcare,2018,,Nan
Datatrained,Seed,1752000,Bangalore,"Datatrained is a educational platform, which operates an ed-tech startup on data science",Edtech,2018,,Nan
Oneassist,Seed,2400000,Mumbai,Oneassist is a protection & assistance services platform.,Saas,2018,,Nan
Satin creditcare network limited (scnl),Series D,30000000,New delhi,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,Finance,2018,,Nan
Apac financial services,Series D,36500000,Mumbai,Apac financial services is a financial services platform.,Finance,2018,,Nan
Moglix,Series C,23000000,Noida,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",E-commerce,2018,,Nan
Sedemac mechatronics,Series B,0,Mumbai,Sedemac mechatronics is technology company that distributes control-intensive products for automobiles.,Automation,2018,,Nan
Madguy labs,Series B,150000,Hyderabad,Madguy labs is a online test-prep platform.,Fintech,2018,,Nan
Dee dee labs,Seed,0,Pune,Dee dee labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,Healthcare,2018,,Nan
Fleeca,Seed,0,Jaipur,Fleeca is a tyre care provider company.,Fintech,2018,,Nan
Shop101,Series B,11000000,Mumbai,#1 online selling app. india’s leading social commerce platform. setup free online store in 2 min. sell own goods or resell shop101 supply.,E-commerce,2018,,Nan
Feedmypockets,Seed,642400,Bangalore,On demand staffing platform,Media and marketing,2018,,Nan
Housejoy,Series B,3240000,Bengaluru,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,Beauty & wellness,2018,,Nan
Ambee,Seed,0,Bangalore,Ambee is an environment analytics startup.,Healthcare,2018,,Nan
Foodbuddy,Seed,876000,Belgaum,"Foodbuddy is a online food delivery portal, providing boundary breaking delivery.",Food and Beverages,2018,,Nan
Ninjacart,Series B,36500000,Bengaluru,Ninjacart is a b2b agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,Agritech,2018,,Nan
Olly smart credit card,Seed,0,New delhi,Olly is a digital credit card for india's working masses and young people.,Fintech,2018,,Nan
Zestl,Seed,0,Pune,"No-code workflow automation. build enterprise applications in days with ai, cognitive automation, collaboration and more built in.",Saas,2018,,Nan
Byju’s,Series D,540000000,Bangalore,Byju’s is an edtech company that is reinventing how students learn through its learning app.,Edtech,2018,,Nan
Wakefit,Series B,9490000,Bangalore,Wakefitkart is a mattress manufacturing company. we manufacture the best quality mattresses at affordable prices.,Retail,2018,,Nan
Hero electric,Series B,23360000,New delhi,"Hero electric, a 100% subsidiary of the hero group, is a pioneer in the indian electric vehicle industry.",Automation,2018,,Nan
Pentation analytics,Seed,0,Mumbai,Pentation as an insurtech enables insurers and intermediaries with our insurance analytics suite- an insurance specific ai/ml software suite,Insurance,2018,,Nan
Perkfinance,Seed,900000,Bangalore,Perkfinance partners with employers to provide affordable loans to their employees at no cost to the company,Finance,2018,,Nan
Roposo,Series C,10000000,Gurgaon,Roposo - tv by the people is a unique social media platform where people express visually with homemade videos and photos.,Social network,2018,,Nan
Plum goodness,Series A,0,Thane,Plum haircare is silicone-free & sulphate-free. designed for damaged & dandruff-free hair,Healthcare,2018,,Nan
Drstore,Seed,0,Mumbai,Drstore is a exclusive e- commerce platform.,E-commerce,2018,,Nan
Wow venue,Series B,1500000,Mumbai,Wow venue is an online platform.,Media tech,2018,,Nan
Chizel,Seed,0,Pune,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3d printing and cnc machining,Saas,2018,,Nan
Oto capital,Seed,730000,Mumbai,Oto capital is a platform that allows you to own a car faster than ever.,Ainance,2018,,Nan
Boodmo,Seed,1022000,Gurgaon,Boodmo.com - large online marketplace for auto parts in india.,E-commerce,2018,,Nan
Khabri,Seed,0,Haryana,Khabri is a digital audio platform for content in vernacular.,Digital media,2018,,Nan
Mynewcar.in,Series B,1000000,Gurgaon,Mynewcar.in offers new cars at best price with great deals. book a new car online or request a doorstep test drive,E- rental,2018,,Nan
Halaplay technologies,Series A,5000000,Bangalore,A daily fantasy sports platform.,Sports,2018,,Nan
Planetspark,Seed,233600,Gurgaon,Planetspark is an after-school maths and english learning program for pre teen kids between grades 2nd to 7th.,Edtech,2018,,Nan
Wheelsemi,Series B,14000000,Pune,"Wheelsemi is the brand name of nbfc, wheelsemi pvt. ltd.",Fintech,2018,,Nan
Forum for innovation incubation research and entrepreneurship,Seed,1496500,Margão,"Fiire, a technology business incubator helps the startup process to move from the garage to the lab.",Fintech,2018,,Nan
Oyo,Series D,100000000,Gurgaon,Oyo is an indian hospitality startup that operates a network of budget hotels.,Hospitality,2018,,Nan
Quikr,Seed,8030000,Bangalore,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across india.",E-commerce,2018,,Nan
Tabono,Seed,0,Gurgaon,Tabono is a one stop environment for all your fitness solution.,Sports,2018,,Nan
Learnapp,Seed,292000,Noida,"Learnapp.co - video courses & live classes in investing, trading, banking and finance.",Edtech,2018,,Nan
Shopkirana,Series B,2000000,Indore,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,E-commerce,2018,,Nan
Fric bergen,Series B,0,Alwar,Fric bergen is a leader in the specialty food industry.,Fintech,2018,,Nan
Articbot,Seed,17520,Kannur,Articbot is a conversational ai platform for automated customer support and lead generation,AI,2018,,Nan
Buildsupply,Series A,3650000,Gurgaon,India’s most advanced erp system for the real estate,Real estate,2018,,Nan
Fusion microfinance,Series D,75920000,New delhi,Fusion microfinance pvt. ltd. is an nbfc registered with rbi,Finance,2018,,Nan
Any time doctor,Seed,0,Chennai,Anytime doctor is a software company.,Saas,2018,,Nan
Go payments,Series D,0,Mumbai,Go payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,Technology,2018,,Nan
Guiddoo world,Seed,800000,Mumbai,We build in-destination experiences!,Hospitality,2018,,Nan
Ion energy,Series B,1041000,Mumbai,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,Energy storage,2018,,Nan
Unotag,Seed,100000,Bangalore,Saas to verify counterfeit,AI,2018,,Nan
Civilcops,Seed,100000,Gurgaon,Gov-tech,Technology,2018,,Nan
Rockmetric,Seed,0,Mumbai,"Smarter analytics to understand how each customer uses your product. drive growth in conversion, retention and engagement.",Technology,2018,,Nan
Classworks india,Undisclosed,1460,Chennai,"Saas, web app, mobile app, school education",Edtech,2018,,Nan
Snapmint,Seed,0,Mumbai,"Snapmint facilitates simplified, fairly-priced and hassle-free emi options without a credit card.",Fintech,2018,,Nan
Artbandhu,Seed,15000,Bangalore,Ai platform for art and creative community,Digital tech,2018,,Nan
Survaider,Seed,500000,Bengaluru,Stethoscope for customer feedback !,Saas,2018,,Nan
Credy,Seed,1400000,Bengaluru,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,Fintech,2018,,Nan
Ichamp,Seed,5000000,Gurgaon,Ichamp is an e education innovation product from rnm e-services pvt ltd.,Fintech,2018,,Nan
Qandle,Seed,1200000,Gurgaon,A cloud-based hr management and employee engagement platform.,Saas,2018,,Nan
Avishkaar box,Seed,730000,Delhi,"Avishkaar box is just not another box full of material rather it is a well researched, thought through solution",Edtech,2018,,Nan
Gegadyne energy,Seed,0,Mumbai,A mumbai-based startup electric vehicle (ev) & energy storage company.,Automobile,2018,,Nan
Hyperxchange,Series A,1000000,Pune,Hyperxchange is india's fastest growing o2o marketplace for premium refurb gadgets,E-commerce,2018,,Nan
Deftouch,Seed,0,Bangalore,Deftouch is a mobile game development company that currently focuses on winning the cricket gaming market with a social multiplayer game.,Fintech,2018,,Nan
Doodhwala,Seed,2200000,Bengaluru,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,Food and Beverages,2018,,Nan
Dronahq,Seed,500000,Mumbai,Dronahq is an enterprise mobile engagement platform.,Saas,2018,,Nan
Fastfox,Series A,1460000,Gurgaon,Fastfox: market network for home rentals (india),Real estate,2018,,Nan
Buyforexonline,Seed,2000000,Bangalore,Buyforexonline.com is india's first completely online provider for buying foreign exchange.,Hospitality,2018,,Nan
Colive.in,Seed,1800000,Bangalore,A technology powered network of branded serviced homes conveniently located near educational institutions & workplaces.,Hospitality,2018,,Nan
Agricxlab private limited,Seed,500000,Thane,Online marketplace where farmers and traders can sell their produce to b2b buyers,Agritech,2018,,Nan
Corefactors,Seed,0,Bangalore,"Corefactors is a leading campaign management, business communication and analytics company.",Fintech,2018,,Nan
Fincash.com,Seed,150000,Mumbai,A startup in the personal finance space in india .,Finance,2018,,Nan
Pandorum technologies,Series A,3600000,Bengaluru,Bengaluru based biotech startup.,Biotech,2018,,Nan
Shirsa labs,Seed,500000,Mumbai,Shirsa labs is a cognitive skill assessment and training portal that provides children with fun educational games.,Edtech,2018,,Nan
Petsutra,Seed,138700,Gurgaon,Gurugram-based online petcare platform.,Healthcare,2018,,Nan
Awaaz de,Seed,0,Ahmedabad,Awwaz.de develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,Telecommunication,2018,,Nan
Pinkblue,Seed,300000,Bangalore,Pinkblue.in - super-efficient supply-chain for clinical supplies,Healthcare,2018,,Nan
Eduvanz,Seed,500000,Mumbai,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",Finance,2018,,Nan
Rupeek,Series A,6830000,Bangalore,Rupeek is an asset backed online lending platform currently operating in the space of gold loans.,Finance,2018,,Nan
Backpacker panda holidays private limited,Series A,1400000,Pune,Backpacker panda is creating an ecosystem for youth accommodation and travel.,Hospitality,2018,,Nan
Shape (school health and physical education),Seed,200000,Pune,Physical education start up,Education,2018,,Nan
Placio,Seed,2000000,Noida,Placio is a student housing and a complete broker-free platform.,Hospitality,2018,,Nan
Aviom india housing finance,Series A,2190000,New delhi,Delhi based housing finance company.,Finance,2018,,Nan
Genrobotic,Seed,0,Trivandrum,A robotic company.,Robotics,2018,,Nan
Heyholidays,Seed,1000000,Bangalore,"Heyholidays, a global player in online vacation rentals.",Hospitality,2018,,Nan
Pratilipi,Series A,4300000,Bengaluru,Amazon's kindle direct publishing for indian languages,Digital media,2018,,Nan
Sectorqube,Seed,0,Ernakulam,Sectorqube develops smart kitchen devices that make food automatically.,Robotics,2018,,Nan
Food memories,Seed,0,Ahmedabad,Iconic indian delicacies from the most renowned vendors of india delivered globally.,Food and Beverages,2018,,Nan
Zamroo,Seed,0,Noida,Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,E-commerce,2018,,Nan
Silversparro technologies pvt. ltd,Seed,300000,Gurgaon,Silversparro is a deep learning technology solution provider.,Education,2018,,Nan
Creator’s gurukul,Seed,0,Gurgaon,A coworking space provider.,Startup hub,2018,,Nan
Emflux motors,Seed,364846,Bengaluru,Emflux motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,Renewable energy,2018,,Nan
Tricog health services pvt ltd,Series A,4000000,Bangalore,Predictive healthcare analytics company,Healthcare,2018,,Nan
Scapic,Seed,500000,Bangalore,Virtual/augmented reality start up .,Saas,2018,,Nan
6degree,Seed,400000,Mumbai,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,Fashion,2018,,Nan
Chrysalis (ez vidya),Seed,0,Chennai,Chrysalis (ez vidya) is india’s leading educational research and innovation organization,Education,2018,,Nan
Ekincare,Series A,1500000,Hyderabad,Ekincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,Healthcare,2018,,Nan
Streo,Seed,0,Gurgaon,"Live stream music from nightclubs, bars & festivals!",Entertainment,2018,,Nan
Groww,Seed,120000,Kormangala,Groww offers a new way of investing money.,Fintech,2018,,Nan
Cell propulsion,Seed,102200,Bangalore,Cell propulsion is an electric mobility startup that designs autonomous electric vehicles.,Fintech,2018,,Nan
Chezuba,Seed,20440,Hyderabad,Chezuba is a web-based platform enabling skilled professionals to volunteer online with non-profits worldwide,Entrepreneurship,2018,,Nan
Ontrack technologies pvt. ltd,Seed,0,Bangalore,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,Retail,2018,,Nan
Wealthtrust,Seed,500000,Mumbai,Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,Fintech,2018,,Nan
Faclon labs,Seed,0,Mumbai,Faclon is an iot and data analytics based tech startup building products to make cities and villages smart.,Iot,2018,,Nan
Awign enterprises,Seed,730000,Bangalore,Operations and manpower outsourcing startup,Supply chain,2018,,Nan
Collpoll,Seed,0,Bangalore,World-class enterprise system for education.,Education,2018,,Nan
Zyla health,Seed,0,New delhi,Zyla is transforming the way healthcare is delivered in india with specific focus on high-risk chronic patients.,Healthcare,2018,,Nan
Hubhopper,Series A,500000,Delhi,Get your daily dose of interest as summaries from news and magazine stories .,Digital media,2018,,Nan
Rubix108 technologies,Seed,1000000,Pune,Rubix total app makes it effortless for institutes to send home important information and updates about the day’s learning experiences.,Technology,2018,,Nan
Workflexi,Seed,146000,Bangalore,"Be smart, work on contract,be smart, hire on contract",Hr-tech,2018,,Nan
Streak,Seed,328500,Bangalore,Algorithmic trading platform.,Fintech,2018,,Nan
Kuants,Seed,73000,Gurgaon,Algorithmic trading platform.,Fintech,2018,,Nan
Niyo solutions,Series A,13200000,Bangalore,Niyo is a fintech company that helps salaried employees access company benefits and other financial services.,Fintech,2018,,Nan
Hippo video,Seed,0,Chennai,A video recording and sharing software.,It,2018,,Nan
Satvacart,Seed,0,Gurgaon,Satvacart is a gurgaon’s largest online supermarket,E-commerce,2018,,Nan
Daaki,Seed,0,Bangalore,Sports nutrition startup,Healthcare,2018,,Nan
Simulanis,Seed,500000,New delhi,A delhi-based augmented reality and virtual reality technology development company.,Edtech,2018,,Nan
My chiraag cab,Seed,1000000,Jaipur,My chiraag cab services pvt ltd,Hospitality,2018,,Nan
Wotu,Seed,0,Bangalore,It operates a business-to-business e-commerce portal for food and beverages.,Food and Beverages,2018,,Nan
Flathalt,Seed,50000,Gurgaon,Find your customized home here.,Fintech,2018,,Nan
True elements,Seed,730000,Pune,True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.,Food and Beverages,2018,,Nan
Trendlyne technologies,Seed,200000,Bangalore,Trendlyne technologies is a stock market analytics platform and marketplace for retail investors.,Fintech,2018,,Nan
